year,month,count,datetime
2009,2,1,2009-02-01
2009,4,3,2009-04-01
2009,5,12,2009-05-01
2009,6,40,2009-06-01
2009,7,75,2009-07-01
2009,8,3633,2009-08-01
2009,9,1023,2009-09-01
2009,10,1330,2009-10-01
2009,11,2262,2009-11-01
2009,12,3110,2009-12-01
2010,1,3807,2010-01-01
2010,2,4130,2010-02-01
2010,3,4739,2010-03-01
2010,4,4007,2010-04-01
2010,5,5098,2010-05-01
2010,6,4707,2010-06-01
2010,7,4958,2010-07-01
2010,8,7481,2010-08-01
2010,9,8098,2010-09-01
2010,10,8581,2010-10-01
2010,11,11516,2010-11-01
2010,12,14197,2010-12-01
2011,1,14307,2011-01-01
2011,2,8250,2011-02-01
2011,3,8901,2011-03-01
2011,4,10583,2011-04-01
2011,5,12275,2011-05-01
2011,6,11563,2011-06-01
2011,7,13573,2011-07-01
2011,8,12728,2011-08-01
2011,9,8313,2011-09-01
2011,10,10714,2011-10-01
2011,11,10848,2011-11-01
2011,12,9267,2011-12-01
2012,1,10529,2012-01-01
2012,2,11708,2012-02-01
2012,3,10441,2012-03-01
2012,4,10674,2012-04-01
2012,5,11162,2012-05-01
2012,6,9249,2012-06-01
2012,7,10763,2012-07-01
2012,8,10316,2012-08-01
2012,9,8094,2012-09-01
2012,10,11486,2012-10-01
2012,11,10116,2012-11-01
2012,12,8111,2012-12-01
2013,1,10838,2013-01-01
2013,2,10945,2013-02-01
2013,3,10343,2013-03-01
2013,4,11294,2013-04-01
2013,5,10657,2013-05-01
2013,6,9270,2013-06-01
2013,7,11076,2013-07-01
2013,8,10152,2013-08-01
2013,9,8548,2013-09-01
2013,10,10686,2013-10-01
2013,11,9490,2013-11-01
2013,12,8230,2013-12-01
2014,1,9394,2014-01-01
2014,2,10428,2014-02-01
2014,3,9674,2014-03-01
2014,4,10752,2014-04-01
2014,5,11843,2014-05-01
2014,6,10286,2014-06-01
2014,7,12159,2014-07-01
2014,8,11525,2014-08-01
2014,9,10529,2014-09-01
2014,10,14539,2014-10-01
2014,11,12226,2014-11-01
2014,12,11504,2014-12-01
2015,1,12530,2015-01-01
2015,2,12350,2015-02-01
2015,3,11588,2015-03-01
2015,4,11611,2015-04-01
2015,5,11734,2015-05-01
2015,6,12109,2015-06-01
2015,7,11677,2015-07-01
2015,8,10829,2015-08-01
2015,9,8558,2015-09-01
2015,10,11098,2015-10-01
2015,11,10738,2015-11-01
2015,12,10473,2015-12-01
2016,1,11437,2016-01-01
2016,2,12860,2016-02-01
2016,3,11778,2016-03-01
2016,4,11900,2016-04-01
2016,5,11627,2016-05-01
2016,6,11568,2016-06-01
2016,7,11231,2016-07-01
2016,8,13789,2016-08-01
2016,9,10622,2016-09-01
2016,10,12299,2016-10-01
2016,11,13215,2016-11-01
2016,12,9566,2016-12-01
2017,1,10660,2017-01-01
2017,2,10896,2017-02-01
2017,3,10585,2017-03-01
2017,4,9217,2017-04-01
2017,5,11441,2017-05-01
2017,6,12816,2017-06-01
2017,7,9304,2017-07-01
2017,8,10445,2017-08-01
2017,9,7642,2017-09-01
2017,10,11213,2017-10-01
2017,11,12017,2017-11-01
2017,12,8220,2017-12-01
2018,1,10708,2018-01-01
2018,2,11179,2018-02-01
2018,3,9384,2018-03-01
2018,4,10226,2018-04-01
2018,5,12953,2018-05-01
2018,6,9002,2018-06-01
2018,7,12629,2018-07-01
2018,8,16681,2018-08-01
2018,9,12418,2018-09-01
2018,10,16294,2018-10-01
2018,11,14829,2018-11-01
2018,12,10621,2018-12-01
2019,1,11190,2019-01-01
2019,2,11211,2019-02-01
2019,3,9521,2019-03-01
2019,4,10789,2019-04-01
2019,5,13546,2019-05-01
2019,6,9541,2019-06-01
2019,7,13319,2019-07-01
2019,8,16462,2019-08-01
2019,9,12244,2019-09-01
2019,10,16560,2019-10-01
2019,11,14173,2019-11-01
2019,12,11824,2019-12-01
2020,1,16145,2020-01-01
2020,2,18878,2020-02-01
2020,3,24995,2020-03-01
2020,4,20757,2020-04-01
2020,5,17992,2020-05-01
2020,6,6447,2020-06-01
